Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,14-Sep-2019,Taj Mahal,21431,2019,"Financial Year (Apr - Mar), 2019",20190914,2019-09-14
India,2019,14-Sep-2019,Agra Fort,7104,2019,"Financial Year (Apr - Mar), 2019",20190914,2019-09-14
India,2019,14-Sep-2019,Red Fort,9078,2019,"Financial Year (Apr - Mar), 2019",20190914,2019-09-14
India,2019,14-Sep-2019,Qutub Minar,9350,2019,"Financial Year (Apr - Mar), 2019",20190914,2019-09-14
India,2019,15-Sep-2019,Red Fort,14011,2019,"Financial Year (Apr - Mar), 2019",20190915,2019-09-15
India,2019,15-Sep-2019,Qutub Minar,12269,2019,"Financial Year (Apr - Mar), 2019",20190915,2019-09-15
India,2019,15-Sep-2019,Agra Fort,6431,2019,"Financial Year (Apr - Mar), 2019",20190915,2019-09-15
India,2019,15-Sep-2019,Taj Mahal,20630,2019,"Financial Year (Apr - Mar), 2019",20190915,2019-09-15
India,2019,16-Sep-2019,Qutub Minar,6367,2019,"Financial Year (Apr - Mar), 2019",20190916,2019-09-16
India,2019,16-Sep-2019,Taj Mahal,14351,2019,"Financial Year (Apr - Mar), 2019",20190916,2019-09-16
India,2019,16-Sep-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190916,2019-09-16
India,2019,16-Sep-2019,Agra Fort,5594,2019,"Financial Year (Apr - Mar), 2019",20190916,2019-09-16
India,2019,17-Sep-2019,Qutub Minar,7544,2019,"Financial Year (Apr - Mar), 2019",20190917,2019-09-17
India,2019,17-Sep-2019,Red Fort,10416,2019,"Financial Year (Apr - Mar), 2019",20190917,2019-09-17
India,2019,17-Sep-2019,Taj Mahal,13036,2019,"Financial Year (Apr - Mar), 2019",20190917,2019-09-17
India,2019,17-Sep-2019,Agra Fort,4184,2019,"Financial Year (Apr - Mar), 2019",20190917,2019-09-17
India,2019,18-Sep-2019,Qutub Minar,6479,2019,"Financial Year (Apr - Mar), 2019",20190918,2019-09-18
India,2019,18-Sep-2019,Agra Fort,4469,2019,"Financial Year (Apr - Mar), 2019",20190918,2019-09-18
India,2019,18-Sep-2019,Taj Mahal,13911,2019,"Financial Year (Apr - Mar), 2019",20190918,2019-09-18
India,2019,18-Sep-2019,Red Fort,8023,2019,"Financial Year (Apr - Mar), 2019",20190918,2019-09-18
India,2019,19-Sep-2019,Red Fort,6878,2019,"Financial Year (Apr - Mar), 2019",20190919,2019-09-19
India,2019,19-Sep-2019,Taj Mahal,14899,2019,"Financial Year (Apr - Mar), 2019",20190919,2019-09-19
India,2019,19-Sep-2019,Agra Fort,4882,2019,"Financial Year (Apr - Mar), 2019",20190919,2019-09-19
India,2019,19-Sep-2019,Qutub Minar,5052,2019,"Financial Year (Apr - Mar), 2019",20190919,2019-09-19
India,2019,20-Sep-2019,Agra Fort,3676,2019,"Financial Year (Apr - Mar), 2019",20190920,2019-09-20
India,2019,20-Sep-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190920,2019-09-20
India,2019,20-Sep-2019,Qutub Minar,7797,2019,"Financial Year (Apr - Mar), 2019",20190920,2019-09-20
India,2019,20-Sep-2019,Red Fort,8026,2019,"Financial Year (Apr - Mar), 2019",20190920,2019-09-20
India,2019,21-Sep-2019,Qutub Minar,7906,2019,"Financial Year (Apr - Mar), 2019",20190921,2019-09-21
India,2019,21-Sep-2019,Agra Fort,7599,2019,"Financial Year (Apr - Mar), 2019",20190921,2019-09-21
India,2019,21-Sep-2019,Taj Mahal,19100,2019,"Financial Year (Apr - Mar), 2019",20190921,2019-09-21
India,2019,21-Sep-2019,Red Fort,7931,2019,"Financial Year (Apr - Mar), 2019",20190921,2019-09-21
India,2019,22-Sep-2019,Qutub Minar,13475,2019,"Financial Year (Apr - Mar), 2019",20190922,2019-09-22
India,2019,22-Sep-2019,Red Fort,1220,2019,"Financial Year (Apr - Mar), 2019",20190922,2019-09-22
India,2019,22-Sep-2019,Taj Mahal,22388,2019,"Financial Year (Apr - Mar), 2019",20190922,2019-09-22
India,2019,22-Sep-2019,Agra Fort,6919,2019,"Financial Year (Apr - Mar), 2019",20190922,2019-09-22
India,2019,23-Sep-2019,Taj Mahal,15814,2019,"Financial Year (Apr - Mar), 2019",20190923,2019-09-23
India,2019,23-Sep-2019,Agra Fort,6333,2019,"Financial Year (Apr - Mar), 2019",20190923,2019-09-23
India,2019,23-Sep-2019,Qutub Minar,7611,2019,"Financial Year (Apr - Mar), 2019",20190923,2019-09-23
India,2019,23-Sep-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190923,2019-09-23
India,2019,24-Sep-2019,Qutub Minar,7034,2019,"Financial Year (Apr - Mar), 2019",20190924,2019-09-24
